ParkName,Rank,Value,PercentOfTotal
Dayton Aviation Heritage NHP,243,"95,334",0.03%
Fort Stanwix NM,244,"94,006",0.03%
Timpanogos Cave NM,245,"91,261",0.03%
Homestead NM of America,246,"87,755",0.03%
Monocacy NB,247,"87,547",0.03%
Rainbow Bridge NM,248,"86,369",0.03%
Hamilton Grange NMEM,249,"85,348",0.03%
Moores Creek NB,250,"83,889",0.03%
Horseshoe Bend NMP,251,"83,370",0.03%
Carl Sandburg Home NHS,252,"80,696",0.02%
Oregon Caves NM,253,"80,613",0.02%
Wrangell-St. Elias NP & PRES,254,"79,047",0.02%
Effigy Mounds NM,255,"77,195",0.02%
Casa Grande Ruins NM,256,"75,752",0.02%
Niobrara NSR,257,"73,813",0.02%
Dry Tortugas NP,258,"73,661",0.02%
Florissant Fossil Beds NM,259,"73,564",0.02%
Kalaupapa NHP,260,"71,527",0.02%
Waco Mammoth NM,261,"69,510",0.02%
Klondike Gold Rush NHP Seattle,262,"69,435",0.02%
Pipestone NM,263,"67,489",0.02%
Frederick Douglass NHS,264,"67,387",0.02%
Hubbell Trading Post NHS,265,"67,276",0.02%
Jimmy Carter NHS,266,"66,441",0.02%
Navajo NM,267,"65,705",0.02%
Roger Williams NMEM,268,"65,588",0.02%
Rosie The Riveter WWII Home Front,269,"64,425",0.02%
Eleanor Roosevelt NHS,270,"63,480",0.02%
Cumberland Island NS,271,"61,896",0.02%
Fort Davis NHS,272,"61,823",0.02%
Sunset Crater Volcano NM,273,"60,233",0.02%
Capulin Volcano NM,274,"60,132",0.02%
Golden Spike NHS,275,"60,027",0.02%
El Morro NM,276,"59,422",0.02%
Palo Alto Battlefield NHP,277,"58,556",0.02%
Hopewell Culture NHP,278,"58,058",0.02%
Thomas Edison NHP,279,"57,694",0.02%
Aztec Ruins NM,280,"57,692",0.02%
Fort Laramie NHS,281,"57,444",0.02%
Marsh-Billings-Rockefeller NHP,282,"55,716",0.02%
Eisenhower NHS,283,"55,550",0.02%
Hopewell Furnace NHS,284,"54,167",0.02%
Chaco Culture NHP,285,"54,084",0.02%
Sagamore Hill NHS,286,"53,920",0.02%
Charles Pinckney NHS,287,"53,184",0.02%
Women's Rights NHP,288,"52,683",0.02%
Chiricahua NM,289,"51,277",0.02%
Whitman Mission NHS,290,"50,148",0.02%
Longfellow NHS,291,"49,697",0.02%
John Muir NHS,292,"49,376",0.01%
Pipe Spring NM,293,"46,710",0.01%
African Burial Ground NM,294,"46,526",0.01%
George Washington Carver NM,295,"46,397",0.01%
Ulysses S. Grant NHS,296,"46,071",0.01%
Andrew Johnson NHS,297,"45,937",0.01%
Lake Chelan NRA,298,"45,514",0.01%
James A. Garfield NHS,299,"45,437",0.01%
Tumacacori NHP,300,"43,829",0.01%
Hovenweep NM,301,"42,862",0.01%
Saint-Gaudens NHS,302,"42,377",0.01%
Big Hole NB,303,"41,795",0.01%
Gila Cliff Dwellings NM,304,"41,519",0.01%
Pecos NHP,305,"39,715",0.01%
Weir Farm NHS,306,"39,079",0.01%
Buck Island Reef NM,307,"38,929",0.01%
Tonto NM,308,"38,048",0.01%
Friendship Hill NHS,309,"37,847",0.01%
Katmai NP & PRES,310,"37,818",0.01%
New Orleans Jazz NHP,311,"35,514",0.01%
Hampton NHS,312,"34,942",0.01%
Harry S Truman NHS,313,"34,616",0.01%
Arkansas Post NMEM,314,"34,405",0.01%
Bluestone NSR,315,"34,139",0.01%
Salinas Pueblo Missions NM,316,"32,414",0.01%
Bent's Old Fort NHS,317,"31,948",0.01%
Tuskegee Airmen NHS,318,"31,133",0.01%
Fort Larned NHS,319,"31,060",0.01%
William Howard Taft NHS,320,"30,723",0.01%
Tallgrass Prairie NPRES,321,"29,378",0.01%
Fort Scott NHS,322,"29,291",0.01%
Theodore Roosevelt Inaugural NHS,323,"29,199",0.01%
National Park of American Samoa,324,"28,892",0.01%
North Cascades NP,325,"28,646",0.01%
Brown v. Board of Education NHS,326,"27,968",0.01%
Cane River Creole NHP,327,"26,863",0.01%
Hagerman Fossil Beds NM,328,"25,982",0.01%
John F. Kennedy NHS,329,"25,467",0.01%
Isle Royale NP,330,"24,966",0.01%
Russell Cave NM,331,"24,649",0.01%
Booker T. Washington NM,332,"23,440",0.01%
Grant-Kohrs Ranch NHS,333,"23,176",0.01%
Springfield Armory NHS,334,"22,434",0.01%
Martin Van Buren NHS,335,"22,100",0.01%
Lake Clark NP & PRES,336,"21,102",0.01%
Saint Paul's Church NHS,337,"20,830",0.01%
Fossil Butte NM,338,"20,737",0.01%
Fort Union Trading Post NHS,339,"17,502",0.01%
Cesar E. Chavez NM,340,"17,216",0.01%
Noatak NPRES,341,"17,000",0.01%
Salt River Bay NHP & Ecological Pres,342,"16,449",0.00%
Agate Fossil Beds NM,343,"15,555",0.00%
Kobuk Valley NP,344,"15,500",0.00%
Cape Krusenstern NM,345,"15,000",0.00%
Edgar Allan Poe NHS,346,"14,827",0.00%
Keweenaw NHP,347,"14,612",0.00%
Saint Croix Island International Historic Site,348,"13,857",0.00%
First Ladies NHS,349,"13,378",0.00%
Knife River Indian Villages NHS,350,"13,328",0.00%
Washita Battlefield NHS,351,"12,312",0.00%
Fort Union NM,352,"11,953",0.00%
Saugus Iron Works NHS,353,"11,159",0.00%
Thomas Stone NHS,354,"10,652",0.00%
President W.J. Clinton Birthplace Home NHS,355,"10,468",0.00%
Charles Young Buffalo Soldiers NM,356,"10,211",0.00%
Gates of the Arctic NP & PRES,357,"10,047",0.00%
Maggie L. Walker NHS,358,"9,589",0.00%
Frederick Law Olmsted NHS,359,"8,935",0.00%
Tuskegee Institute NHS,360,"8,452",0.00%
Alibates Flint Quarries NM,361,"8,153",0.00%
Fort Bowie NHS,362,"8,013",0.00%
Mary McLeod Bethune Council House NHS,363,"7,149",0.00%
Sand Creek Massacre NHS,364,"6,847",0.00%
Theodore Roosevelt Birthplace NHS,365,"6,582",0.00%
Eugene O'Neill NHS,366,"4,287",0.00%
Nicodemus NHS,367,"3,552",0.00%
Thaddeus Kosciuszko NMEM,368,"2,794",0.00%
Belmont-Paul Women's Equality NM,369,"2,704",0.00%
Bering Land Bridge NPRES,370,"2,642",0.00%
Port Chicago Naval Magazine NM,371,"1,942",0.00%
Yukon-Charley Rivers NPRES,372,"1,146",0.00%
Rio Grande W&SR,373,463,0.00%
Aniakchak NM & PRES,374,100,0.00%
